disease_id	canonical_name	aliases	source	xref_doid	external_ids	fetch_date
MONDO:0024410	infection caused by Bifidobacterium	Bifidobacterium caused disease or disorder|Bifidobacterium disease or disorder|Bifidobacterium infectious disease|infection caused by Bifidobacterium	MONDO			2026-06-29
MONDO:0024412	Peptostreptococcus infectious disease	Peptostreptococcus caused disease or disorder|Peptostreptococcus disease or disorder|Peptostreptococcus infection	MONDO			2026-06-29
MONDO:0024414	anaerobic cellulitis	anaerobic cellulitis	MONDO			2026-06-29
MONDO:0024415	hemorrhagic duodenitis	hemorrhagic duodenitis	MONDO			2026-06-29
MONDO:0024416	Neorickettsia infectious disease	Neorickettsia caused disease or disorder|Neorickettsia disease or disorder|neorickettsiosis	MONDO			2026-06-29
MONDO:0024417	perceptual disorders		MONDO			2026-06-29
MONDO:0024418	muscular fibrosis multifocal obstructed vessels		MONDO			2026-06-29
MONDO:0024419	enthesitis	enthesis inflammation|enthesitis|inflammation of enthesis|inflammatory enthesopathy	MONDO			2026-06-29
MONDO:0024421	short stature contractures hypotonia		MONDO			2026-06-29
MONDO:0024422	auditory perceptual disorders	disorder of sensory perception of sound|sensory perception of sound disease	MONDO			2026-06-29
MONDO:0024429	Alice in Wonderland syndrome		MONDO			2026-06-29
MONDO:0024430	allesthesia		MONDO			2026-06-29
MONDO:0024431	bilirubin metabolism disease	disorder of bilirubin metabolism	MONDO			2026-06-29
MONDO:0024432	nerve plexus disorder	disease of nerve plexus|disease or disorder of nerve plexus|disorder of nerve plexus|nerve plexus disease|nerve plexus disease or disorder|nerve plexus disorder|plexopathy	MONDO	DOID:3688		2026-06-29
MONDO:0024454	sacral nerve plexus disorder	disease of sacral nerve plexus|disease or disorder of sacral nerve plexus|disorder of sacral nerve plexus|sacral nerve plexus disease or disorder|sacral nerve plexus disorder|sacral plexopathy	MONDO			2026-06-29
MONDO:0024455	autosomal dominant Robinow syndrome 1	DRS1|Robinow syndrome, autosomal dominant 1|WNT5A autosomal dominant Robinow syndrome|autosomal dominant Robinow syndrome caused by mutation in WNT5A|dysostosis acral with facial and genital abnormalities	MONDO	DOID:0060766		2026-06-29
