rna_id	rbp_symbol	biosample_cell_type	assay	peak_count	score	evalue	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000229812_9606	TARDBP	K562	eCLIP	1	4.48349	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000230449_9606	TARDBP	K562	eCLIP	2	5.688185	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000230510_9606	TARDBP	K562	eCLIP	1	3.975936	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000230640_9606	TARDBP	K562	eCLIP	1	5.426169	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000230859_9606	TARDBP	K562	eCLIP	1	4.302205	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000230895_9606	TARDBP	K562	eCLIP	4	5.23474	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000230901_9606	TARDBP	K562	eCLIP	1	3.975936	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000231368_9606	TARDBP	K562	eCLIP	1	5.413171	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000232458_9606	TARDBP	K562	eCLIP	1	4.191009	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000232607_9606	TARDBP	K562	eCLIP	1	5.61166	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000232978_9606	TARDBP	K562	eCLIP	1	4.169136	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000233078_9606	TARDBP	K562	eCLIP	9	6.105341	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000233121_9606	TARDBP	K562	eCLIP	1	4.205882	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000233336_9606	TARDBP	K562	eCLIP	1	4.548131	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000233596_9606	TARDBP	K562	eCLIP	1	6.299281	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000234038_9606	TARDBP	K562	eCLIP	1	4.031921	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000234453_9606	TARDBP	K562	eCLIP	2	4.541229	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000234590_9606	TARDBP	K562	eCLIP	1	3.594686	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000234875_9606	TARDBP	K562	eCLIP	1	3.302205	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000235090_9606	TARDBP	K562	eCLIP	1	3.163438	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000235372_9606	TARDBP	K562	eCLIP	1	4.475936	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000235453_9606	TARDBP	K562	eCLIP	1	4.022491	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000236067_9606	TARDBP	K562	eCLIP	2	4.510528	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000237177_9606	TARDBP	K562	eCLIP	1	3.702193	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000237283_9606	TARDBP	K562	eCLIP	1	3.898527	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000237380_9606	TARDBP	K562	eCLIP	1	6.002492	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000237530_9606	TARDBP	K562	eCLIP	1	4.23001	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000237536_9606	TARDBP	K562	eCLIP	4	5.947872	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000237654_9606	TARDBP	K562	eCLIP	1	4.581689	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000239117_9606	TARDBP	K562	eCLIP	14	8.292721	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000239906_9606	TARDBP	K562	eCLIP	1	5.488482	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000240095_9606	TARDBP	K562	eCLIP	1	4.478463	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000240185_9606	TARDBP	K562	eCLIP	3	5.628243	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000240364_9606	TARDBP	K562	eCLIP	2	6.001577	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000241502_9606	TARDBP	K562	eCLIP	1	4.360439	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000242351_9606	TARDBP	K562	eCLIP	2	5.414723	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000243563_9606	TARDBP	K562	eCLIP	1	3.73474	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000244289_9606	TARDBP	K562	eCLIP	1	3.975936	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000244519_9606	TARDBP	K562	eCLIP	1	4.802205	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000244669_9606	TARDBP	K562	eCLIP	2	5.192885	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000244815_9606	TARDBP	K562	eCLIP	1	4.587133	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000245206_9606	TARDBP	K562	eCLIP	1	4.764187	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000245544_9606	TARDBP	K562	eCLIP	2	4.171975	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000245817_9606	TARDBP	K562	eCLIP	2	6.091998	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000245838_9606	TARDBP	K562	eCLIP	2	4.440489	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000245934_9606	TARDBP	K562	eCLIP	1	4.819703	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000245960_9606	TARDBP	K562	eCLIP	2	7.552163	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000246163_9606	TARDBP	K562	eCLIP	2	5.205882	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000246190_9606	TARDBP	K562	eCLIP	1	4.345936	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000246194_9606	TARDBP	K562	eCLIP	1	4.626191	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	low	ENCODE	ENCODE:rolling	2026-04-12
ENST00000246489_9606	TARDBP	K562	eCLIP	4	5.08496	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000247087_9606	TARDBP	K562	eCLIP	4	4.646455	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	medium	ENCODE	ENCODE:rolling	2026-04-12
ENST00000248054_9606	TARDBP	K562	eCLIP	13	5.344419	-1	ENCFF593RED	ENCSR720BJU	ENCODE	ENCFF593RED.bed.gz	high	ENCODE	ENCODE:rolling	2026-04-12
