disease_id	molecule_id	relation_type	source	evidence_class	molecule_backbone_mapped	fetch_date
MONDO:0005298	DB16004	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0043455	DB11620	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005090	DB09128	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002009	DB09128	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0019933	DB00082	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005252	DB13316	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB00424	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0009265	DB06720	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0006244	DB05773	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005956	DB00218	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008300	DB00052	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0006909	DB00052	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0019499	DB00052	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0001586	DB00090	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0009659	DB09051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0015905	DB09303	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005044	DB13803	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005178	DB01283	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005178	DB07402	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB07402	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005306	DB07402	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018542	DB00099	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0008090	DB00099	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0004247	DB13695	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004247	DB13507	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015564	DB09036	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0008383	DB00005	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0011429	DB00005	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005306	DB00005	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0006244	DB00072	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0000618	DB09073	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005034	DB09078	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005075	DB09078	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005002	DB01274	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005607	DB01274	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004849	DB01274	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005109	DB09299	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006626	DB15293	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006939	DB09060	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005097	DB09035	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0002154	DB13659	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0007186	DB08806	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0019610	DB08806	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0010674	DB01271	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0001051	DB09047	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015924	DB05229	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005180	DB06654	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005247	DB09050	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006014	DB13434	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0015924	DB06268	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005191	DB09035	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005044	DB00528	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008159	DB09070	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005191	DB09037	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0011122	DB06155	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0002009	DB00234	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB04831	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005150	DB00137	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006733	DB00137	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005417	DB08885	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0041093	DB08885	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0004728	DB08885	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0041448	DB08885	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0007186	DB11964	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005231	DB09027	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001126	DB08806	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006733	DB15919	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005147	DB00047	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005148	DB00047	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005044	DB09230	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006624	DB09262	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0022205	DB06272	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0008383	DB00051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0011429	DB00051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005306	DB00051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0009960	DB00051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005101	DB00051	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0001444	DB11989	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005761	DB00711	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005459	DB06243	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005459	DB12864	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001444	DB11820	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0011989	DB05630	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005459	DB04786	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005459	DB00738	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005148	DB09045	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0004849	DB12248	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006004	DB00394	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001134	DB12230	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB01340	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001134	DB15959	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB11783	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0011122	DB06586	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005044	DB01021	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0700081	DB06415	indication	DrugCentral	curated_indication	False	2026-06-29
MONDO:0005109	DB09065	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005586	DB11630	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005096	DB11630	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0006052	DB08993	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0013600	DB09034	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018150	DB09039	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005001	DB04924	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005009	DB09270	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001126	DB13419	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005180	DB11757	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0021187	DB01393	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005231	DB09102	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0000430	DB05015	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0001566	DB00710	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004555	DB01590	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0005578	DB00469	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0018906	DB09054	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0004379	DB08905	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0024376	DB00962	indication	DrugCentral	curated_indication	True	2026-06-29
MONDO:0010679	DB05016	indication	DrugCentral	curated_indication	True	2026-06-29
