rna_id	biosample_tissue	biosample_cell_type	expression_value	expression_unit	assay	sample_id	experiment_id	source_dataset	source_file	evidence_level	source	source_version	fetch_date
ENST00000934951_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934952_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934953_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934954_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934955_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934956_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934957_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934958_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000934959_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
ENST00000968805_9606	blood	CD4-positive, alpha-beta T cell	692.666667	counts_mean	total RNA-seq	ENCFF937GQE	ENCSR140GZF	ENCODE	ENCFF937GQE.tsv	high	ENCODE	ENCODE:rolling	2026-04-12
