disease_id	hpo_id	source	evidence_class
MONDO:0011872	HP:0001008	HPO_annotations	curated_association
MONDO:0011872	HP:0002218	HPO_annotations	curated_association
MONDO:0011872	HP:0001945	HPO_annotations	curated_association
MONDO:0011872	HP:0001257	HPO_annotations	inferred_mapping
MONDO:0011872	HP:0001433	HPO_annotations	curated_association
MONDO:0978293	HP:0002389	HPO_annotations	curated_association
MONDO:0978293	HP:0002664	HPO_annotations	curated_association
MONDO:0978293	HP:0011419	HPO_annotations	curated_association
MONDO:0978293	HP:0000486	HPO_annotations	curated_association
MONDO:0978293	HP:0002540	HPO_annotations	curated_association
MONDO:0978293	HP:0000365	HPO_annotations	curated_association
MONDO:0978293	HP:0002021	HPO_annotations	curated_association
MONDO:0978293	HP:0002384	HPO_annotations	curated_association
MONDO:0978293	HP:0002020	HPO_annotations	curated_association
MONDO:0978293	HP:0002141	HPO_annotations	curated_association
MONDO:0978293	HP:0003072	HPO_annotations	curated_association
MONDO:0978293	HP:0012469	HPO_annotations	curated_association
MONDO:0978293	HP:0000639	HPO_annotations	curated_association
MONDO:0978293	HP:0000752	HPO_annotations	curated_association
MONDO:0978293	HP:0000132	HPO_annotations	curated_association
MONDO:0978293	HP:0002311	HPO_annotations	curated_association
MONDO:0978293	HP:0002312	HPO_annotations	curated_association
MONDO:0978293	HP:0011808	HPO_annotations	curated_association
MONDO:0978293	HP:0003764	HPO_annotations	curated_association
MONDO:0978293	HP:0000494	HPO_annotations	curated_association
MONDO:0978293	HP:0025373	HPO_annotations	curated_association
MONDO:0978293	HP:0001344	HPO_annotations	curated_association
MONDO:0978293	HP:0000490	HPO_annotations	curated_association
MONDO:0978293	HP:0002150	HPO_annotations	curated_association
MONDO:0978293	HP:0011003	HPO_annotations	curated_association
MONDO:0978293	HP:0011094	HPO_annotations	curated_association
MONDO:0978293	HP:0002705	HPO_annotations	curated_association
MONDO:0978293	HP:0001337	HPO_annotations	curated_association
MONDO:0978293	HP:0000006	HPO_annotations	curated_association
MONDO:0978293	HP:0001310	HPO_annotations	curated_association
MONDO:0978293	HP:0002360	HPO_annotations	curated_association
MONDO:0978293	HP:0001270	HPO_annotations	curated_association
MONDO:0978293	HP:0002080	HPO_annotations	curated_association
MONDO:0978293	HP:0100033	HPO_annotations	curated_association
MONDO:0978293	HP:0012330	HPO_annotations	curated_association
MONDO:0978293	HP:0100785	HPO_annotations	curated_association
MONDO:0978293	HP:0100704	HPO_annotations	curated_association
MONDO:0978293	HP:0000737	HPO_annotations	curated_association
MONDO:0978293	HP:0012450	HPO_annotations	curated_association
MONDO:0978293	HP:0000739	HPO_annotations	curated_association
MONDO:0978293	HP:0000733	HPO_annotations	curated_association
MONDO:0978293	HP:0000977	HPO_annotations	curated_association
MONDO:0978293	HP:0030084	HPO_annotations	curated_association
MONDO:0978293	HP:0000218	HPO_annotations	curated_association
MONDO:0978293	HP:0006579	HPO_annotations	curated_association
MONDO:0978293	HP:0001028	HPO_annotations	curated_association
MONDO:0978293	HP:0002014	HPO_annotations	curated_association
MONDO:0978293	HP:0001045	HPO_annotations	curated_association
MONDO:0978293	HP:0000076	HPO_annotations	curated_association
MONDO:0978293	HP:0002650	HPO_annotations	curated_association
MONDO:0978293	HP:0002133	HPO_annotations	curated_association
MONDO:0978293	HP:0000750	HPO_annotations	curated_association
MONDO:0978293	HP:0002373	HPO_annotations	curated_association
MONDO:0978293	HP:0011344	HPO_annotations	curated_association
MONDO:0978293	HP:0100710	HPO_annotations	curated_association
MONDO:0978293	HP:0000506	HPO_annotations	curated_association
MONDO:0978293	HP:0000348	HPO_annotations	curated_association
MONDO:0978293	HP:0007018	HPO_annotations	curated_association
MONDO:0978293	HP:0000589	HPO_annotations	curated_association
MONDO:0978293	HP:0000347	HPO_annotations	curated_association
MONDO:0978293	HP:0004523	HPO_annotations	curated_association
MONDO:0978293	HP:0000286	HPO_annotations	curated_association
MONDO:0978293	HP:0002069	HPO_annotations	curated_association
MONDO:0978293	HP:0010529	HPO_annotations	curated_association
MONDO:0978293	HP:0002188	HPO_annotations	curated_association
MONDO:0978293	HP:0031629	HPO_annotations	curated_association
MONDO:0978293	HP:0030652	HPO_annotations	curated_association
MONDO:0978293	HP:0001252	HPO_annotations	curated_association
MONDO:0978293	HP:0012708	HPO_annotations	curated_association
MONDO:0978293	HP:0001251	HPO_annotations	curated_association
