hpo_id	term	synonyms	source	hierarchy_reference	fetch_date
HP:5210266	Recurrent retinitis	Chronic retinitis|Persistent retinitis|Recurrent infectious retinitis	HPO		2026-06-29
HP:5210267	Family history of unusual infection	Family history of recurrent infection|Family history of severe infection	HPO		2026-06-29
HP:5210268	Family history of immune deficiency	Familiy history of an immunodeficiency|Familiy history of primary immunodeficiency disorders (PID)|Family history of an inborn error of imunity (IEI)	HPO		2026-06-29
HP:5210269	Family history of autoimmunity	Family history of autoimmune disease	HPO		2026-06-29
HP:5210270	Family history of death due to infection	Family history of fatal infection	HPO		2026-06-29
HP:5210271	Family history of lymphoma		HPO		2026-06-29
HP:5210272	Family history of leukaemia		HPO		2026-06-29
HP:5210273	Maternal history of recurrent miscarriage	Maternal history of recurrent spontaneous abortion	HPO		2026-06-29
HP:5210274	Unexplained sibling death	Unexpected sibling death|Unexplained death of a sibling	HPO		2026-06-29
HP:5210275	Consanguinity		HPO		2026-06-29
HP:5210276	Unusual mycobacterial osteomyelitis		HPO		2026-06-29
HP:5210277	Unusual musculoskeletal infection		HPO		2026-06-29
HP:5210278	Unusual infectious osteomyelitis		HPO		2026-06-29
HP:5210279	Unusual lymphatic system infection		HPO		2026-06-29
HP:5210280	Unusual oral cavity infection		HPO		2026-06-29
HP:5210281	Post-vaccination mumps	Mumps vaccine virus infection|Post-MMR mumps infection	HPO		2026-06-29
HP:5210282	Cytomegalovirus retinitis	CMV retinitis|Extensive CMV retinitis|Invasive CMV retinitis	HPO		2026-06-29
HP:5210283	Cytomegalovirus pneumonitis	CMV interstitial pneumonia|CMV pneumonitis	HPO		2026-06-29
HP:5210284	Cytomegalovirus encephalitis	CMV encephalitis	HPO		2026-06-29
HP:5210286	Unusual EBV infection	Unusual Epstein-Barr virus infection|Unusual susceptibility to EBV	HPO		2026-06-29
HP:5210288	EBV-driven HLH	EBV-associated HLH|EBV-driven haemophagocytic lymphohistiocytosis	HPO		2026-06-29
HP:5210290	Disseminated herpes simplex virus infection	Invasive HSV infection|Severe HSV infection	HPO		2026-06-29
HP:5210291	Recurrent herpes simplex virus infection	Chronic HSV infection|Persistent HSV infection	HPO		2026-06-29
HP:5210293	Persistent adenovirus viremia	Chronic adenovirus viraemia|Persistent adenovirus viraemia	HPO		2026-06-29
HP:5210294	Adenovirus colitis		HPO		2026-06-29
HP:5210295	Adenovirus hepatitis		HPO		2026-06-29
HP:5210296	Adenovirus encephalitis		HPO		2026-06-29
HP:5210297	Adenovirus pneumonitis	Adenoviral pneumonia	HPO		2026-06-29
HP:5210298	Recurrent chickenpox infection	Recurrent varicella	HPO		2026-06-29
HP:5210299	Severe chickenpox infection	Disseminated varicella|Severe varicella	HPO		2026-06-29
HP:5210301	VZV encephalitis	Varicella-zoster virus encephalitis	HPO		2026-06-29
HP:5210302	VZV pneumonitis	VZV pneumonia|Varicella-zoster virus pneumonitis	HPO		2026-06-29
HP:5210303	Unusual warts	Unusual HPV infection|Unusual susceptibility to warts	HPO		2026-06-29
HP:5210304	Disseminated warts	Disseminated human papillomavirus infection	HPO		2026-06-29
HP:5210305	Recurrent warts	Recurrent human papillomavirus infection	HPO		2026-06-29
HP:5210306	Chronic warts	Persistent warts	HPO		2026-06-29
HP:5210309	Persistent molluscum infection	Chronic Molluscum contagiosum infection|Recurrent molluscum	HPO		2026-06-29
HP:5210310	Unusual norovirus infection	Unusual susceptibility to norovirus	HPO		2026-06-29
HP:5210312	Chronic norovirus infection	Persistent norovirus infection|Recurrent norovirus infection	HPO		2026-06-29
HP:5210313	Unusual Aichi virus hepatitis		HPO		2026-06-29
HP:5210314	Unusual enterovirus infection	Unusual susceptibility to enterovirus	HPO		2026-06-29
HP:5210315	Enteroviral central nervous system infection	Enteroviral CNS infection|Enteroviral meningoencephalitis	HPO		2026-06-29
HP:5210316	Enteroviral sepsis		HPO		2026-06-29
HP:5210317	Unusual astrovirus infection	Unusual susceptibility to astrovirus	HPO		2026-06-29
HP:5210318	Disseminated astrovirus infection		HPO		2026-06-29
HP:5210319	Astrovirus central nervous system infection	Astrovirus CNS infection|CNS encephalitis due to astrovirus	HPO		2026-06-29
HP:5210320	Unusual influenza infection	Unusual susceptibility to influenza	HPO		2026-06-29
HP:5210321	Persitent influenza viremia	Persistent influenza viraemia|Persitent influenza viraema	HPO		2026-06-29
HP:5210323	Unusual parainfluenza infection		HPO		2026-06-29
HP:5210325	Recurrent parainfluenza virus infection	Chronic parainfluenza infection|Persistent parainfluenza infection|Recurrent parainfluenza infection	HPO		2026-06-29
HP:5210326	Chronic SARS-CoV-2 infection	Chronic COVID-19|Persistent COVID-19|Persistent SARS-CoV-2 infection|Protracted COVID-19	HPO		2026-06-29
HP:5210328	Severe seasonal coronavirus infection	Invasive seasonal coronavirus infection|Severe HCoV infection|Severe HCoV-229E infection|Severe HCoV-HKU1 infection|Severe HCoV-NL63 infection|Severe HCoV-OC43 infection|Severe common cold coronavirus infection	HPO		2026-06-29
HP:5210329	Chronic seasonal coronavirus infection	Chronic HCoV infection|Persistent HCoV shedding|Persistent seasonal coronavirus infection|Prolonged HCoV shedding	HPO		2026-06-29
HP:5210330	Unusual HHV6 infection	Unusual human herpesvirus 6 infection	HPO		2026-06-29
HP:5210331	Unusual HHV8 infection	Unusual Kaposi's sarcoma-associated herpesvirus infection	HPO		2026-06-29
HP:5210332	BK virus nephropathy	BK nephropathy|BK polyomavirus nephropathy|Nephropathy caused by a Human polyomavirus 1 infection	HPO		2026-06-29
